stage_id,pipeline_id,stage_label,stage_group,snapshot_col
175326088,95211801,Midway Check In Due,progress_call,pc_due
240516941,95211801,Midway Check In Invited,progress_call,pc_invited
175346325,95211801,Midway Check In Scheduled,progress_call,pc_scheduled
200475939,95211801,Midway Check in Not Complete,progress_call,pc_not_cmplt
186330445,95211801,Midway Check in Complete - Nurture,progress_call,pc_completed
203001161,95211801,Renewal Call Due,renewal_call,rc_due
240516942,95211801,Renewal Call Invited,renewal_call,rc_invited
186350393,95211801,Renewal Call Scheduled,renewal_call,rc_scheduled
175346326,95211801,Renewal Call Not Complete,renewal_call,rc_not_cmplt
200616252,95211801,Renewal Call Complete - Nurture,other,nurture
1021424915,95211801,Follow Up Call Complete - Nurture,other,nurture
175346329,95211801,Renewal Red Zone,other,redzone
175346331,95211801,Renewal Closed Won - PIF,other,closed_won
229787714,95211801,Renewal Closed Won - Payment Plan,other,closed_won
175346332,95211801,Renewal Deal Lost,other,closed_lost
209616300,95211801,Renewal Deal DNC,other,closed_lost
1359829634,898243912,New Member,renewal_pipeline,new_member
1359841792,898243912,Progress Call Invited,renewal_pipeline,pc_invited
1359841793,898243912,Progress Call Scheduled,renewal_pipeline,pc_scheduled
1359841794,898243912,Progress Call Not Completed,renewal_pipeline,pc_not_cmplt
1359841795,898243912,Progress Call Completed,renewal_pipeline,pc_completed
1359841800,898243912,Renewal Call Invited,renewal_pipeline,rc_invited
1359841801,898243912,Renewal Call Booked,renewal_pipeline,rc_scheduled
1359841802,898243912,Renewal Call Not Completed,renewal_pipeline,rc_not_cmplt
1359841456,898243912,Closed Won,other,closed_won
1359841457,898243912,Closed Lost,other,closed_lost
1401758771,917643668,Winback Eligible,winback,wb_eligible
1401758772,917643668,Winback Attempting Contact,winback,wb_attempting
1401758773,917643668,Winback Booked,winback,wb_booked
1408600080,917643668,Winback Not Complete,winback,wb_not_complete
1401758774,917643668,Winback Nurture,winback,wb_nurture
1401758775,917643668,Winback Red Zone,winback,wb_redzone
1401758776,917643668,Winback Closed Won,winback,wb_closed_won
1401758777,917643668,Winback Closed Lost,winback,wb_closed_lost
